ASIN,Seller_canada,priceTotal_canada,Condition_canada,Seller_usa,priceTotal_usa,Condition_usa,is_FBA_usa,lowestPriceFloorusa,US_ConvertedPriceTo_CAD,ProfitFactor,PF_10pctBelow,PF_15pctBelow
0134154126,Amazon,209.73,New,apex_media,107.78,Used - Good,True,107.78,143.34740000000005,-0.49,-0.54,-0.56
1305504593,Virtual_Books,93.02,New,ST MEDIA,94.94,Used - Good,True,94.94,126.2702,0.02,-0.08,-0.13
1524934151,Amazon,88.42,New,Green Earth Media,67.62,Used - Good,True,67.62,89.93460000000002,-0.24,-0.31,-0.35
1305504917,JGL,86.44,Used - Very Good,RockCityBooks,95.96,Used - Acceptable,True,95.96,127.6268,0.11,-0.0,-0.06
1483347583,fakeDict,-99.0,something wrong happened,The Book Dock,43.97,Used - Good,True,43.97,58.4801,-1.44,-1.4,-1.38
0134443772,Amazon,99.99,New,Crestwood Sales,69.3,Used - Good,True,69.3,92.169,-0.31,-0.38,-0.41
1511560665,Amazon,70.41,New,Amazon,50.06,New,False,50.06,66.5798,-0.29,-0.36,-0.4
0133942651,Mountain Goats Books and Gifts,149.99,Used - Very Good,Half-Price Hank's Books,144.97,Used - Very Good,True,144.97,192.8101,-0.03,-0.13,-0.18
0321934180,Amazon,199.0,New,RockCityBooks,90.76,Used - Acceptable,True,90.76,120.71080000000002,-0.54,-0.59,-0.61
0738753610,Amazon,81.53,New,Amazon,53.71,New,False,53.71,71.43430000000002,-0.34,-0.41,-0.44
1319056369,Amazon,108.47,New,Amazon,70.33,New,False,70.33,93.5389,-0.35,-0.42,-0.45
0899578691,Amazon,115.39,New,Amazon,78.91,New,False,78.91,104.9503,-0.32,-0.38,-0.42
1450400620,Book Depository CA,108.56,New,FlippingPages,58.13,Used - Good,True,58.13,77.31290000000001,-0.46,-0.52,-0.54
073872355X,Book Depository CA,80.19,New,Amazon,58.88,New,False,58.88,78.3104,-0.27,-0.34,-0.38
1119494532,fakeDict,-99.0,something wrong happened,Amazon,148.09,New,False,148.09,196.95970000000003,-2.5,-2.35,-2.27
140124243X,Amazon,92.4,New,rlincoln1986,44.56,Used - Very Good,True,44.56,59.26480000000001,-0.52,-0.57,-0.59
0387984038,Amazon,78.69,New,ayvax,50.69,New,True,50.69,67.4177,-0.36,-0.42,-0.45
0205782760,Canada's Best Books,129.99,Used - Good,Open Range Media,75.0,Used - Good,True,75.0,99.75,-0.42,-0.48,-0.51
