ASIN,Seller_canada,priceTotal_canada,Condition_canada,Seller_usa,priceTotal_usa,Condition_usa,is_FBA_usa,lowestPriceFloorusa,US_ConvertedPriceTo_CAD,ProfitFactor,PF_10pctBelow,PF_15pctBelow
0134060490,Amazon,199.0,New,Open Range Media,97.38,Used - Good,True,97.38,129.5154,-0.51,-0.56,-0.58
0393655776,Amazon,78.93,New,Amazon,50.8,New,False,50.8,67.564,-0.36,-0.42,-0.45
1591265177,Amazon,112.5,New,Patrick  Miller,27.99,Used - Like New,True,27.99,37.2267,-0.75,-0.78,-0.79
1401243142,Amazon,119.13,New,Amazon,80.1,New,False,80.1,106.53299999999999,-0.33,-0.39,-0.43
1535963433,Amazon,104.45,New,Amazon,79.99,New,False,79.99,106.3867,-0.23,-0.31,-0.35
1462513263,Amazon,95.09,New,FlippingPages,60.67,Used - Good,True,60.67,80.6911,-0.36,-0.43,-0.46
1319056644,Amazon,111.55,New,apex_media,70.15,Used - Good,True,70.15,93.2995,-0.37,-0.43,-0.47
013432076X,Amazon,182.49,New,Brandts,127.55,Used - Acceptable,True,127.55,169.6415,-0.3,-0.37,-0.41
032198238X,Textbooks for Change,142.25,Used - Very Good,Mega Discount Books,106.75,Used - Good,True,106.75,141.97750000000005,-0.25,-0.32,-0.36
1526600420,Book Depository CA,184.1,New,SuperBookDeals---,149.62,Used - Like New,False,149.62,198.9946,-0.19,-0.27,-0.31
1337109657,Amazon,170.31,New,Flippin’ Fast Shippin’,79.24,Used - Like New,True,79.24,105.3892,-0.53,-0.58,-0.6
1612785093,Amazon,73.55,New,Amazon,47.99,New,False,47.99,63.82670000000001,-0.35,-0.41,-0.45
019527301X,Amazon,84.89,New,Amazon,65.31,New,False,65.31,86.8623,-0.23,-0.31,-0.35
0814252702,Amazon,96.53,New,Half-Price Hank's Books,56.99,Used - Very Good,True,56.99,75.7967,-0.41,-0.47,-0.5
0134605195,Amazon,196.02,New,Half-Price Hank's Books,159.98,Used - Very Good,True,159.98,212.7734,-0.18,-0.27,-0.31
1305080483,University of Toronto Bookstore,150.0,New,apex_media,54.36,Used - Acceptable,True,54.36,72.2988,-0.64,-0.67,-0.69
0133826600,fakeDict,-99.0,something wrong happened,W.Triton,100.0,Used - Very Good,True,100.0,133.0,-2.01,-1.91,-1.86
1579478883,Amazon,180.7,New,RentU,143.46,Used - Like New,True,143.46,190.8018,-0.21,-0.29,-0.33
0073523933,Canada's Best Books,179.99,Used - Good,Krisha’s Korner,59.0,Used - Good,True,59.0,78.47,-0.67,-0.7,-0.72
